player_id,season,speed_max_mph,speed_pctl,bursts20,bursts_pctl,oz_pct
8470600,20232024,21.561,0.4427,24,0.5191,0.42178378
8470600,20242025,21.137,0.2642,18,0.4654,0.40195707
8470600,20252026,,,,,
8470604,20232024,22.83,0.8109,103,0.7451,0.39447305
8470604,20242025,,,,,
8470604,20252026,,,,,
8470610,20232024,21.927,0.3668,28,0.3125,0.39728726
8470610,20242025,,,,,
8470610,20252026,,,,,
8470613,20232024,21.846,0.5446,35,0.6529,0.48462895
8470613,20242025,21.718,0.5377,28,0.6132,0.46133881
8470613,20252026,22.1519,0.6914,30,0.6173,0.42471006
8470621,20232024,20.55,0.0576,6,0.1283,0.4319406
8470621,20242025,21.062,0.0917,23,0.2783,0.45373834
8470621,20252026,20.8069,0.0651,3,0.0619,0.44320175
8470794,20232024,20.866,0.0839,13,0.1941,0.44896955
8470794,20242025,,,,,
8470794,20252026,,,,,
8470966,20232024,21.24,0.2994,15,0.4108,0.41854467
8470966,20242025,,,,,
8470966,20252026,,,,,
8471214,20232024,21.689,0.2566,14,0.2056,0.42884168
8471214,20242025,21.985,0.3767,16,0.225,0.43909959
8471214,20252026,21.6364,0.2508,12,0.1922,0.44563147
8471215,20232024,21.331,0.1628,48,0.4622,0.45395172
8471215,20242025,22.01,0.3867,48,0.425,0.44782544
8471215,20252026,21.5059,0.1954,37,0.3713,0.44911292
8471218,20232024,22.363,0.5905,71,0.5773,0.42078722
8471218,20242025,,,,,
8471218,20252026,,,,,
8471274,20232024,21.514,0.4204,10,0.3153,0.43037857
8471274,20242025,,,,,
8471274,20252026,,,,,
8471675,20232024,22.883,0.8257,189,0.9408,0.46833564
8471675,20242025,22.544,0.6467,159,0.875,0.45881734
8471675,20252026,22.8595,0.8078,138,0.8306,0.46189913
8471677,20232024,21.675,0.4777,19,0.4777,0.4168765
8471677,20242025,21.701,0.5252,13,0.3868,0.37670081
8471677,20252026,,,,,
8471685,20232024,21.453,0.1908,51,0.4836,0.4344646
8471685,20242025,21.475,0.1883,60,0.5,0.42285505
8471685,20252026,21.3346,0.1661,57,0.4756,0.4313575
8471686,20232024,21.816,0.5287,9,0.3057,0.41853331
8471686,20242025,,,,,
8471686,20252026,,,,,
8471698,20232024,22.502,0.6727,73,0.5872,0.41481441
8471698,20242025,,,,,
8471698,20252026,,,,,
8471699,20232024,22.474,0.6579,136,0.8355,0.38464599
8471699,20242025,,,,,
8471699,20252026,,,,,
8471709,20232024,21.808,0.5255,15,0.4108,0.41917526
8471709,20242025,20.571,0.1415,7,0.2642,0.40363324
8471709,20252026,,,,,
8471724,20232024,22.382,0.7771,45,0.7643,0.42298749
8471724,20242025,22.108,0.6541,35,0.695,0.42617227
8471724,20252026,22.1309,0.679,52,0.8025,0.42912581
8471817,20232024,22.317,0.5674,18,0.2368,0.42212332
8471817,20242025,21.901,0.3483,14,0.2067,0.41173046
8471817,20252026,21.5474,0.2134,22,0.2622,0.41370036
8473419,20232024,21.966,0.3914,90,0.6776,0.43996676
8473419,20242025,22.452,0.5967,82,0.6033,0.45028229
8473419,20252026,22.4051,0.5863,104,0.7215,0.45975224
8473422,20232024,21.501,0.2072,28,0.3125,0.42234505
8473422,20242025,21.254,0.1333,15,0.215,0.40281105
8473422,20252026,21.2999,0.1547,15,0.2248,0.4186483
8473446,20232024,21.215,0.293,11,0.3408,0.38063995
8473446,20242025,20.922,0.217,14,0.3994,0.39619726
8473446,20252026,,,,,
8473449,20232024,22.048,0.4309,42,0.4227,0.42274787
8473449,20242025,,,,,
8473449,20252026,,,,,
8473453,20232024,22.822,0.8076,83,0.6365,0.38991053
8473453,20242025,21.386,0.16,38,0.365,0.38862281
8473453,20252026,,,,,
8473504,20232024,22.208,0.5197,34,0.3668,0.36437533
8473504,20242025,,,,,
8473504,20252026,,,,,
8473507,20232024,22.028,0.6529,64,0.8694,0.40176571
8473507,20242025,22.787,0.8899,23,0.5346,0.39388132
8473507,20252026,22.4199,0.787,31,0.6296,0.43899465
8473512,20232024,22.147,0.4868,79,0.6168,0.43409512
8473512,20242025,22.55,0.6483,57,0.4817,0.42881694
8473512,20252026,21.8386,0.3143,74,0.5879,0.44197203
8473533,20232024,21.994,0.4046,98,0.722,0.46583836
8473533,20242025,23.153,0.9083,80,0.59,0.443853
8473533,20252026,23.1068,0.873,75,0.5961,0.4581076
8473563,20232024,20.339,0.0395,1,0.0313,0.40311465
8473563,20242025,,,,,
8473563,20252026,,,,,
8473986,20232024,21.512,0.2122,54,0.5,0.41521773
8473986,20242025,22.281,0.5033,69,0.5467,0.39836452
8473986,20252026,22.4621,0.6189,69,0.5489,0.40868693
8473994,20232024,21.422,0.1842,32,0.352,0.4430659
8473994,20242025,21.863,0.335,38,0.365,0.41958692
8473994,20252026,21.1672,0.1336,13,0.2036,0.4132716
8474009,20232024,20.665,0.0592,5,0.1086,0.34688705
8474009,20242025,,,,,
8474009,20252026,,,,,
8474013,20232024,20.844,0.1529,16,0.4331,0.41155431
8474013,20242025,21.941,0.6069,9,0.2987,0.39611037
8474013,20252026,21.6755,0.5,17,0.4599,0.39851391
8474031,20232024,20.975,0.1879,6,0.2229,0.44999337
8474031,20242025,,,,,
8474031,20252026,,,,,
8474034,20232024,20.302,0.0378,6,0.1283,0.42397761
8474034,20242025,20.026,0.02,1,0.02,0.40282823
8474034,20252026,,,,,
8474037,20232024,21.778,0.2993,29,0.3191,0.45700409
8474037,20242025,21.719,0.2717,39,0.3733,0.40989428
8474037,20252026,21.8266,0.3062,36,0.3632,0.44061978
8474040,20232024,21.228,0.148,12,0.1875,0.43651544
8474040,20242025,,,,,
8474040,20252026,,,,,
8474053,20232024,20.75,0.0707,3,0.0757,0.40068014
8474053,20242025,,,,,
8474053,20252026,,,,,
8474090,20232024,22.758,0.8822,22,0.5032,0.38341092
8474090,20242025,21.278,0.3365,19,0.4906,0.41877288
8474090,20252026,20.6784,0.1821,3,0.1975,0.39255951
