player_id,season,oz_starts,dz_starts
8470600,20232024,0.3336,0.3459
8470600,20242025,0.2682,0.35
8470600,20252026,,
8470604,20232024,0.1064,0.6042
8470604,20242025,,
8470604,20252026,,
8470610,20232024,0.2834,0.3811
8470610,20242025,,
8470610,20252026,,
8470613,20232024,0.3461,0.3157
8470613,20242025,0.3826,0.3155
8470613,20252026,0.3219,0.3442
8470621,20232024,0.3434,0.3094
8470621,20242025,0.4562,0.2523
8470621,20252026,0.3812,0.2607
8470794,20232024,0.3627,0.3411
8470794,20242025,,
8470794,20252026,,
8470966,20232024,0.3628,0.2965
8470966,20242025,,
8470966,20252026,,
8471214,20232024,0.4977,0.1718
8471214,20242025,0.5452,0.1363
8471214,20252026,0.6228,0.1034
8471215,20232024,0.4004,0.2354
8471215,20242025,0.4002,0.2134
8471215,20252026,0.4533,0.2139
8471218,20232024,0.3649,0.288
8471218,20242025,,
8471218,20252026,,
8471274,20232024,0.3264,0.3185
8471274,20242025,,
8471274,20252026,,
8471675,20232024,0.4003,0.2331
8471675,20242025,0.4075,0.2608
8471675,20252026,0.3722,0.262
8471677,20232024,0.2226,0.4015
8471677,20242025,0.3037,0.341
8471677,20252026,,
8471685,20232024,0.3352,0.3512
8471685,20242025,0.3152,0.3355
8471685,20252026,0.4227,0.2992
8471686,20232024,0.295,0.325
8471686,20242025,,
8471686,20252026,,
8471698,20232024,0.4201,0.2542
8471698,20242025,,
8471698,20252026,,
8471699,20232024,0.2091,0.3748
8471699,20242025,,
8471699,20252026,,
8471709,20232024,0.2496,0.4104
8471709,20242025,0.3195,0.377
8471709,20252026,,
8471724,20232024,0.3393,0.3116
8471724,20242025,0.3315,0.3149
8471724,20252026,0.3901,0.2937
8471817,20232024,0.277,0.3412
8471817,20242025,0.1257,0.4136
8471817,20252026,0.2273,0.3303
8473419,20232024,0.3627,0.3667
8473419,20242025,0.3469,0.3367
8473419,20252026,0.3203,0.3186
8473422,20232024,0.3152,0.3552
8473422,20242025,0.247,0.3754
8473422,20252026,0.2359,0.4156
8473446,20232024,0.3215,0.3408
8473446,20242025,0.3232,0.3282
8473446,20252026,,
8473449,20232024,0.3379,0.3441
8473449,20242025,,
8473449,20252026,,
8473453,20232024,0.3524,0.2983
8473453,20242025,0.307,0.3025
8473453,20252026,,
8473504,20232024,0.2088,0.4008
8473504,20242025,,
8473504,20252026,,
8473507,20232024,0.2866,0.359
8473507,20242025,0.3229,0.3543
8473507,20252026,0.3271,0.2673
8473512,20232024,0.3336,0.3219
8473512,20242025,0.3823,0.3199
8473512,20252026,0.317,0.3457
8473533,20232024,0.2667,0.3458
8473533,20242025,0.3085,0.3406
8473533,20252026,0.3039,0.3298
8473563,20232024,0.4382,0.2022
8473563,20242025,,
8473563,20252026,,
8473986,20232024,0.3398,0.3268
8473986,20242025,0.3625,0.3149
8473986,20252026,0.3233,0.3367
8473994,20232024,0.3574,0.3371
8473994,20242025,0.3477,0.3564
8473994,20252026,0.3431,0.299
8474009,20232024,0.2416,0.4545
8474009,20242025,,
8474009,20252026,,
8474013,20232024,0.2424,0.3879
8474013,20242025,0.3459,0.3305
8474013,20252026,0.3064,0.3484
8474031,20232024,0.3874,0.2956
8474031,20242025,,
8474031,20252026,,
8474034,20232024,0.2472,0.3653
8474034,20242025,0.2966,0.3441
8474034,20252026,,
8474037,20232024,0.3245,0.3323
8474037,20242025,0.3194,0.3388
8474037,20252026,0.3063,0.3773
8474040,20232024,0.3498,0.3184
8474040,20242025,,
8474040,20252026,,
8474053,20232024,0.2917,0.3889
8474053,20242025,,
8474053,20252026,,
8474090,20232024,0.2811,0.3905
8474090,20242025,0.3134,0.3463
8474090,20252026,0.3525,0.2869
8474102,20232024,0.278,0.3784
8474102,20242025,0.3237,0.3094
8474102,20252026,0.347,0.2794
8474141,20232024,0.3421,0.2986
8474141,20242025,0.3716,0.3177
8474141,20252026,0.3726,0.3192
8474145,20232024,0.3546,0.2939
8474145,20242025,0.386,0.2339
8474145,20252026,,
8474149,20232024,0.3339,0.3252
8474149,20242025,0.326,0.3313
8474149,20252026,0.3636,0.358
8474150,20232024,0.2536,0.4114
8474150,20242025,0.2742,0.4435
8474150,20252026,0.2111,0.4544
8474151,20232024,0.369,0.2828
8474151,20242025,0.2415,0.4024
8474151,20252026,0.2929,0.3558
8474157,20232024,0.3636,0.2816
8474157,20242025,0.3157,0.3205
8474157,20252026,,
8474166,20232024,0.3236,0.3431
8474166,20242025,0.3217,0.3217
8474166,20252026,,
8474189,20232024,0.1881,0.531
8474189,20242025,0.3023,0.3409
8474189,20252026,0.2536,0.412
8474563,20232024,0.3159,0.3235
8474563,20242025,0.3816,0.3177
8474563,20252026,0.3238,0.3165
8474564,20232024,0.3678,0.307
8474564,20242025,0.4466,0.2388
8474564,20252026,0.334,0.3386
8474565,20232024,0.3689,0.3118
8474565,20242025,0.3716,0.2987
8474565,20252026,,
8474567,20232024,0.314,0.3291
8474567,20242025,0.2842,0.407
8474567,20252026,0.33,0.3128
8474568,20232024,0.3351,0.2836
8474568,20242025,0.2162,0.3694
8474568,20252026,0.2745,0.3747
8474574,20232024,0.2345,0.3912
8474574,20242025,0.2905,0.3597
8474574,20252026,0.2672,0.3846
8474578,20232024,0.3638,0.3104
8474578,20242025,0.3735,0.2988
8474578,20252026,0.376,0.3076
8474586,20232024,0.368,0.332
8474586,20242025,0.3061,0.3729
8474586,20252026,0.3487,0.3005
8474590,20232024,0.3257,0.3525
8474590,20242025,0.3605,0.3145
8474590,20252026,0.3774,0.3234
8474600,20232024,0.4376,0.2542
8474600,20242025,0.4898,0.2398
8474600,20252026,0.3587,0.3333
8474602,20232024,0.3928,0.2791
8474602,20242025,,
8474602,20252026,,
8474612,20232024,0.3388,0.3207
8474612,20242025,0.2864,0.3683
8474612,20252026,0.2982,0.3684
8474618,20232024,0.3407,0.2821
8474618,20242025,,
8474618,20252026,,
8474641,20232024,0.2893,0.3673
8474641,20242025,0.2928,0.3802
8474641,20252026,0.2516,0.4318
8474673,20232024,0.3244,0.3221
8474673,20242025,0.3193,0.3462
8474673,20252026,,
8474679,20232024,0.4269,0.2647
8474679,20242025,0.3719,0.3081
8474679,20252026,0.3662,0.2864
8474709,20232024,0.2626,0.3721
8474709,20242025,0.3193,0.3109
8474709,20252026,,
8474715,20232024,0.3739,0.2945
8474715,20242025,0.3134,0.2985
8474715,20252026,,
8474716,20232024,0.3553,0.3991
8474716,20242025,0.3238,0.3228
8474716,20252026,0.3144,0.3528
8474870,20232024,0.3188,0.3668
8474870,20242025,0.2667,0.3667
8474870,20252026,,
8474884,20232024,0.2946,0.4018
8474884,20242025,,
8474884,20252026,,
8475149,20232024,0.3197,0.3264
8475149,20242025,0.298,0.351
8475149,20252026,0.3157,0.336
8475151,20232024,0.3501,0.2936
8475151,20242025,0.3673,0.3423
8475151,20252026,0.3993,0.2747
8475158,20232024,0.4242,0.2746
8475158,20242025,0.3685,0.2809
8475158,20252026,0.2978,0.3477
8475164,20232024,0.2891,0.3526
8475164,20242025,,
8475164,20252026,,
8475166,20232024,0.3552,0.3143
8475166,20242025,0.3142,0.3697
8475166,20252026,0.3816,0.3305
8475167,20232024,0.3997,0.2827
8475167,20242025,0.4106,0.3011
8475167,20252026,0.3342,0.2679
8475168,20232024,0.3537,0.3333
8475168,20242025,0.3491,0.3385
8475168,20252026,0.365,0.2933
8475169,20232024,0.3584,0.3044
8475169,20242025,,
8475169,20252026,0.378,0.3387
8475170,20232024,0.3014,0.3849
8475170,20242025,0.3544,0.3496
8475170,20252026,0.3607,0.3258
8475171,20232024,0.3667,0.2693
8475171,20242025,0.3785,0.3091
8475171,20252026,0.399,0.3181
8475172,20232024,0.3957,0.2462
8475172,20242025,0.4259,0.2674
8475172,20252026,0.435,0.2486
8475177,20232024,0.226,0.3428
8475177,20242025,0.2031,0.3799
8475177,20252026,,
8475179,20232024,0.3878,0.2705
8475179,20242025,0.3654,0.2802
8475179,20252026,0.3167,0.3025
8475181,20232024,0.2701,0.401
8475181,20242025,0.314,0.286
8475181,20252026,0.3756,0.3089
8475184,20232024,0.3686,0.2776
8475184,20242025,0.324,0.3482
8475184,20252026,0.3998,0.2544
8475188,20232024,0.3433,0.3197
8475188,20242025,0.3547,0.2913
8475188,20252026,0.3374,0.3303
8475191,20232024,0.3366,0.3234
8475191,20242025,0.3103,0.3186
8475191,20252026,0.3089,0.3017
8475193,20232024,0.3411,0.3411
8475193,20242025,0.2662,0.3117
8475193,20252026,,
8475197,20232024,0.352,0.3056
8475197,20242025,0.3796,0.3066
8475197,20252026,,
8475200,20232024,0.3789,0.2574
8475200,20242025,0.3413,0.2775
8475200,20252026,0.3196,0.3468
8475208,20232024,0.3901,0.2948
8475208,20242025,0.2932,0.3581
8475208,20252026,0.2923,0.3515
8475218,20232024,0.4185,0.2876
8475218,20242025,0.421,0.2612
8475218,20252026,0.4102,0.2602
8475220,20232024,0.2813,0.3618
8475220,20242025,0.2961,0.3306
8475220,20252026,0.2486,0.3977
8475225,20232024,0.2299,0.3547
8475225,20242025,0.2907,0.3353
