,rapm,name,pos,events_onice
8470600,-0.1427516312337034,Ryan Suter,D,349
8470604,-0.015944596112744666,Jeff Carter,C,117
8470613,-0.1346999244365856,Brent Burns,D,793
8470621,0.10871334790243535,Corey Perry,R,405
8470794,0.10376509307403728,Joe Pavelski,C,224
8470966,-0.22147680335092992,Mark Giordano,D,141
8471214,0.2998361027530885,Alex Ovechkin,L,635
8471215,0.19342863771774618,Evgeni Malkin,C,554
8471218,0.07494475950547137,Blake Wheeler,R,62
8471274,-0.07387496839593768,Alex Goligoski,D,59
8471675,0.2724296298932055,Sidney Crosby,C,715
8471677,-0.13689557694950683,Jack Johnson,D,194
8471685,0.05349305212636843,Anze Kopitar,C,806
8471686,-0.01743746308575572,Marc Staal,D,71
8471698,0.16254275849833424,T.J. Oshie,R,126
8471699,-0.13116211647991405,Andrew Cogliano,C,173
8471709,-0.10638412188412726,Marc-Edouard Vlasic,D,145
8471724,-0.1671372415431288,Kris Letang,D,711
8471817,0.13858086438082068,Ryan Reaves,R,119
8473419,0.22205239027233808,Brad Marchand,L,843
8473422,-0.006882864693909775,Nick Foligno,L,587
8473446,-0.21669778261090633,Erik Johnson,D,245
8473449,0.0821480895066448,Kyle Okposo,R,132
8473453,-0.0403584434432341,Trevor Lewis,C,216
8473504,-0.10438742977203534,Cal Clutterbuck,R,144
8473507,-0.04364254569141022,Jeff Petry,D,450
8473512,-0.02490763689465619,Claude Giroux,R,883
8473533,-0.1616604211163418,Jordan Staal,C,779
8473604,0.07724169897548784,Jonathan Toews,C,170
8473986,0.020688417257412443,Alex Killorn,L,733
8473994,0.15377793838798715,Jamie Benn,L,506
8474009,-0.0501410009348017,Nick Bonino,C,77
8474013,-0.2791288470407148,Ian Cole,D,788
8474031,-0.07372492906285481,Kevin Shattenkirk,D,127
8474034,0.08375970723511147,Patrick Maroon,L,130
8474037,0.10326375707380153,James van Riemsdyk,L,355
8474090,-0.11244497030300508,Brendan Smith,D,233
8474102,0.07621711762835745,David Perron,L,386
8474141,0.17477462128155757,Patrick Kane,R,572
8474145,-0.12436382353874763,Robert Bortuzzo,D,89
8474149,0.06469962888179623,Evgenii Dadonov,L,192
8474150,-0.2017725498951447,Mikael Backlund,C,833
8474151,-0.17937822977486498,Ryan McDonagh,D,674
8474157,0.051823916229049506,Max Pacioretty,L,142
8474166,-0.10226821193129135,Alec Martinez,D,181
8474189,-0.002432169067401256,Lars Eller,C,414
