gid,date,away,home,as_,hs,st,dec,ctrl_home,p1,p2,p3,mins,home_win,ctrl_winner,flip
249,2026-01-09,Vancouver,Ottawa,2,4,regular,REG,0.529,0.02,0.022,0.04,60,True,0.529,0.0
212,2025-11-22,New York,Ottawa,4,0,regular,REG,0.434,-0.015,-0.017,-0.123,60,False,0.5660000000000001,0.0
215,2025-11-26,Vancouver,Ottawa,1,5,regular,REG,0.5,0.073,0.057,0.04,60,True,0.5,0.0
338,2026-04-30,Ottawa,Boston,1,2,playoffs,REG,0.556,0.002,0.096,-0.007,60,True,0.556,0.009000000000000001
244,2026-01-03,Minnesota,Ottawa,2,5,regular,REG,0.556,-0.006,0.065,0.027,60,True,0.556,0.033
261,2026-01-20,Toronto,Seattle,4,6,regular,REG,0.554,0.003,-0.007,0.033,60,True,0.554,0.0
263,2026-01-22,Toronto,Vancouver,0,5,regular,REG,0.586,0.026,0.085,0.014,60,True,0.586,0.0
211,2025-11-21,Seattle,Vancouver,3,4,regular,OT,0.404,-0.018,-0.022,0.011,62,True,0.404,0.028999999999999998
235,2025-12-23,Ottawa,Toronto,4,3,regular,OT,0.509,0.073,-0.016,-0.047,62,False,0.491,0.12
247,2026-01-04,Minnesota,Montréal,2,3,regular,OT,0.644,-0.005,0.013,0.064,64,True,0.644,0.069
232,2025-12-21,Toronto,New York,4,3,regular,REG,0.545,-0.009,-0.011,0.093,60,False,0.45499999999999996,0.102
227,2025-12-17,Montréal,Toronto,2,1,regular,OT,0.483,0.029,0.009,0.012,64,False,0.517,0.0
344,2026-05-10,Boston,Ottawa,3,4,playoffs,OT,0.457,-0.003,-0.039,-0.003,82,True,0.457,0.0
213,2025-11-23,Montréal,Boston,0,2,regular,REG,0.553,0.056,-0.016,0.039,60,True,0.553,0.0
283,2026-03-11,Boston,Seattle,2,3,regular,REG,0.554,-0.031,0.012,0.09,60,True,0.554,0.121
239,2025-12-27,Minnesota,Vancouver,2,1,regular,OT,0.446,0.014,0.017,-0.044,63,False,0.554,0.057999999999999996
325,2026-04-22,Minnesota,Seattle,4,5,regular,REG,0.48,-0.018,-0.034,0.017,60,True,0.48,0.035
345,2026-05-08,Montréal,Minnesota,1,3,playoffs,REG,0.588,0.008,-0.031,0.068,60,True,0.588,0.0
265,2026-01-25,New York,Minnesota,2,6,regular,REG,0.56,0.02,0.049,0.012,60,True,0.56,0.0
347,2026-05-12,Minnesota,Montréal,1,2,playoffs,REG,0.438,-0.027,-0.024,-0.012,60,True,0.438,0.0
214,2025-11-25,New York,Montréal,0,4,regular,REG,0.5,0.038,0.032,-0.065,60,True,0.5,0.10300000000000001
326,2026-04-25,Montréal,Seattle,2,1,regular,OT,0.412,0.019,-0.107,0.005,65,False,0.5880000000000001,0.0
321,2026-04-19,Toronto,Minnesota,2,0,regular,REG,0.531,-0.008,0.035,-0.047,60,False,0.469,0.0
292,2026-03-19,Seattle,Montréal,1,4,regular,REG,0.532,0.025,0.073,-0.014,60,True,0.532,0.039
266,2026-01-25,Vancouver,Seattle,3,1,regular,REG,0.531,-0.003,-0.002,-0.012,60,False,0.469,0.0
293,2026-03-21,Minnesota,Vancouver,3,1,regular,REG,0.509,-0.037,-0.013,0.003,60,False,0.491,0.04
303,2026-03-29,Ottawa,Seattle,2,0,regular,REG,0.51,-0.08,-0.013,0.027,60,False,0.49,0.107
250,2026-01-07,Seattle,Boston,1,2,regular,REG,0.578,0.035,0.04,-0.02,60,True,0.578,0.05500000000000001
312,2026-04-11,New York,Minnesota,1,4,regular,REG,0.479,-0.016,-0.009,0.085,60,True,0.479,0.101
229,2025-12-17,Ottawa,Seattle,1,4,regular,REG,0.481,-0.025,0.068,0.006,60,True,0.481,0.031
302,2026-03-29,Boston,Minnesota,4,2,regular,REG,0.409,-0.106,0.027,-0.011,60,False,0.591,0.0
237,2025-12-27,Boston,Ottawa,2,3,regular,OT,0.483,-0.0,-0.064,0.05,65,True,0.483,0.0
267,2026-01-28,Toronto,Montréal,0,3,regular,REG,0.64,0.066,0.065,-0.009,60,True,0.64,0.075
241,2025-12-30,Minnesota,Toronto,5,1,regular,REG,0.509,-0.026,-0.039,0.006,60,False,0.491,0.032
221,2025-12-03,New York,Seattle,1,2,regular,REG,0.54,-0.04,-0.019,0.113,60,True,0.54,0.153
291,2026-03-18,New York,Vancouver,2,5,regular,REG,0.536,0.076,-0.021,0.018,60,True,0.536,0.0
315,2026-04-14,Seattle,Vancouver,1,4,regular,REG,0.418,0.03,0.113,-0.141,60,True,0.418,0.17099999999999999
279,2026-03-08,Ottawa,New York,2,6,regular,REG,0.509,0.108,-0.011,0.076,60,True,0.509,0.0
245,2026-01-03,Seattle,Toronto,3,2,regular,OT,0.418,-0.071,0.077,-0.035,65,False,0.5820000000000001,0.0
281,2026-03-10,Boston,Vancouver,2,1,regular,OT,0.473,-0.01,0.008,-0.005,61,False,0.527,0.0
341,2026-05-05,Minnesota,Montréal,0,1,playoffs,OT,0.638,0.037,-0.022,-0.012,105,True,0.638,0.049
295,2026-03-22,Montréal,Ottawa,1,2,regular,OT,0.585,0.04,0.011,0.013,61,True,0.585,0.0
223,2025-12-06,New York,Vancouver,0,4,regular,REG,0.48,0.097,-0.049,0.006,60,True,0.48,0.0
280,2026-03-08,Minnesota,Toronto,3,2,regular,OT,0.415,-0.0,0.017,-0.063,63,False,0.585,0.0
306,2026-04-01,Toronto,Ottawa,2,1,regular,REG,0.528,-0.014,0.004,-0.012,60,False,0.472,0.0
243,2026-01-02,Montréal,New York,3,4,regular,REG,0.386,-0.019,-0.013,-0.109,60,True,0.386,0.0
319,2026-04-18,New York,Ottawa,1,5,regular,REG,0.632,0.021,0.08,0.059,60,True,0.632,0.0
339,2026-05-02,Ottawa,Boston,3,1,playoffs,REG,0.529,0.017,-0.013,0.023,60,False,0.471,0.0
248,2026-01-06,New York,Toronto,2,0,regular,REG,0.558,0.018,0.002,0.003,60,False,0.44199999999999995,0.0
310,2026-04-07,Boston,Vancouver,5,1,regular,REG,0.479,-0.089,-0.062,0.07,60,False,0.521,0.159
311,2026-04-08,Seattle,Ottawa,5,3,regular,REG,0.545,0.01,0.015,-0.013,60,False,0.45499999999999996,0.023
284,2026-03-13,Seattle,Minnesota,1,4,regular,REG,0.623,0.096,0.07,-0.074,60,True,0.623,0.16999999999999998
226,2025-12-16,Ottawa,Vancouver,1,2,regular,REG,0.444,0.039,0.024,-0.072,60,True,0.444,0.11099999999999999
298,2026-03-25,New York,Seattle,1,4,regular,REG,0.413,0.057,-0.009,-0.064,60,True,0.413,0.121
216,2025-11-28,Minnesota,Seattle,3,0,regular,REG,0.429,-0.021,-0.031,-0.012,60,False,0.571,0.0
231,2025-12-20,Montréal,Vancouver,4,2,regular,REG,0.5,-0.031,-0.086,0.051,60,False,0.5,0.08199999999999999
228,2025-12-17,Boston,New York,2,0,regular,REG,0.547,0.026,-0.016,0.059,60,False,0.45299999999999996,0.0
262,2026-01-21,Montréal,Minnesota,2,1,regular,OT,0.549,0.023,-0.035,0.019,64,False,0.45099999999999996,0.0
230,2025-12-19,Boston,Minnesota,2,5,regular,REG,0.511,0.078,0.012,-0.01,60,True,0.511,0.088
329,2026-04-25,New York,Boston,0,4,regular,REG,0.51,-0.077,0.003,0.161,60,True,0.51,0.238
246,2026-01-03,Vancouver,Boston,4,3,regular,REG,0.51,0.128,-0.005,-0.1,60,False,0.49,0.228
251,2026-01-11,Ottawa,Boston,2,1,regular,OT,0.531,0.036,0.016,0.013,65,False,0.469,0.0
218,2025-11-29,Boston,Toronto,3,1,regular,REG,0.553,0.063,-0.027,-0.029,60,False,0.44699999999999995,0.092
350,2026-05-14,Ottawa,Montréal,2,3,playoffs,OT,0.471,-0.039,-0.023,0.035,63,True,0.471,0.07400000000000001
286,2026-03-15,Boston,Montréal,4,3,regular,OT,0.525,0.091,0.044,-0.148,62,False,0.475,0.239
