player_id,height_cm,weight_kg,shoots
8449645,191,96,L
8450725,178,88,L
8457063,185,87,L
8457981,183,95,R
8458525,188,98,L
8458529,188,101,L
8458537,178,82,R
8458541,185,91,R
8458590,191,104,R
8458938,188,93,L
8458943,183,88,L
8458951,188,95,L
8459053,188,98,R
8459424,198,100,L
8459427,188,92,L
8459429,196,100,R
8459442,178,82,L
8459444,191,104,L
8459454,185,86,L
8459457,185,93,R
8459461,180,80,L
8459462,188,101,L
8459492,188,87,L
8459514,185,101,R
8459587,178,82,L
8459596,185,98,L
8459628,201,110,L
8459640,185,102,R
8459670,178,88,L
8459687,173,81,R
8460465,183,86,L
8460492,191,100,L
8460496,188,87,L
8460503,193,106,L
8460504,191,101,L
8460541,180,86,R
8460556,193,100,L
8460561,193,105,L
8460567,183,87,R
8460577,183,86,R
8460621,180,92,R
8460626,191,98,L
8460719,175,75,R
8460720,183,103,L
8460743,183,91,L
8462036,178,82,L
8462038,185,101,R
8462041,188,88,R
8462042,185,95,R
8462077,185,90,L
8462129,196,98,L
8462176,188,93,R
8462196,180,86,R
8462225,193,102,L
8464956,191,99,L
8464957,185,93,L
8464962,185,96,L
8464966,183,95,R
8464967,185,89,L
8464975,175,79,R
8464977,196,102,L
8464981,193,94,R
8464989,185,92,L
8465005,193,98,L
8465009,206,113,L
8465025,180,95,R
8465042,188,97,L
8465050,180,84,L
8465058,185,95,R
8465059,191,91,R
8465122,183,88,L
8465166,183,91,R
8465170,185,93,L
8465185,191,95,L
8465192,183,92,L
8465200,185,96,L
8465202,191,98,R
8465210,193,117,R
8465914,173,88,L
8465951,180,98,L
8465978,188,98,R
8466035,173,85,R
8466138,193,100,L
8466139,188,98,L
8466140,188,95,L
8466149,185,93,L
8466158,185,98,L
8466160,180,96,L
8466181,188,83,L
8466182,193,95,L
8466215,183,93,R
8466251,191,98,L
8466285,178,87,L
8466333,180,83,L
8466371,180,86,L
8466378,173,82,L
8466393,185,93,L
8466398,183,89,R
8467096,180,88,R
8467329,193,98,L
8467330,188,94,L
8467331,188,98,L
8467332,196,101,L
8467334,188,94,L
8467336,196,107,L
8467338,185,88,L
8467344,191,101,L
8467346,185,88,L
8467351,180,91,L
8467353,198,111,L
8467361,191,95,L
8467365,193,100,L
8467370,185,98,R
8467371,183,81,L
8467389,183,90,L
8467393,185,93,L
8467396,188,93,L
8467400,180,94,L
8467407,170,81,R
8467412,193,102,L
8467423,185,95,L
8467439,183,95,L
8467452,185,98,L
8467463,188,99,R
8467493,185,95,R
8467496,183,91,L
8467514,180,88,L
8467519,188,94,L
8467543,178,88,L
8467545,185,91,R
8467831,183,86,R
8467844,178,86,L
8467856,178,88,R
8467875,185,86,L
8467876,188,83,L
8467878,185,86,R
8467881,193,104,L
8467890,183,92,L
8467899,188,95,L
8467917,185,93,L
8467943,178,93,L
8467967,183,86,L
8467988,193,102,L
8468001,180,80,L
8468064,183,89,L
8468085,185,88,R
8468095,196,102,R
8468101,183,93,R
8468114,191,109,L
8468162,191,95,R
8468172,185,91,L
8468208,185,102,R
8468213,185,95,L
8468224,178,88,L
8468309,180,84,L
8468434,178,79,L
8468463,185,98,L
8468478,178,84,R
8468482,191,96,L
8468483,185,91,L
8468484,191,98,L
8468485,183,98,L
8468486,188,98,L
8468493,191,91,L
8468498,191,98,L
8468500,188,95,R
8468501,185,100,L
8468504,183,90,R
8468505,183,88,L
8468508,185,83,R
8468509,183,88,L
8468513,185,92,L
8468515,196,104,L
8468518,191,95,L
8468520,196,102,R
8468535,185,89,L
8468542,185,91,L
8468577,191,100,L
8468598,178,87,L
8468611,183,96,L
8468635,188,98,L
8468636,180,91,L
8468639,178,84,L
8468674,188,96,R
8468695,180,88,L
8468700,196,103,L
8468704,183,86,R
8468887,183,88,L
8468927,183,95,R
8469454,191,101,R
8469455,191,99,R
8469457,180,86,L
8469459,191,97,L
8469462,183,91,L
8469464,185,99,L
8469465,185,93,L
8469466,183,80,R
8469467,183,87,R
8469469,188,97,L
8469470,185,92,L
8469473,185,89,L
8469474,188,84,R
8469476,183,98,L
8469480,191,103,L
8469483,198,98,L
8469485,175,83,L
8469492,188,100,L
8469500,175,84,L
8469501,191,107,R
8469506,180,82,R
8469508,185,93,L
8469521,180,86,L
8469531,193,101,L
8469544,185,91,R
8469547,175,88,R
8469555,188,91,L
8469581,178,82,R
8469591,188,101,R
8469598,185,89,R
8469619,183,90,L
8469622,191,102,L
8469623,180,86,R
8469638,183,87,L
8469639,188,91,L
8469664,193,95,R
8469665,183,87,L
8469684,193,115,R
8469707,183,91,R
8469759,180,93,L
8469760,188,95,R
8469770,183,92,R
8469779,173,78,L
8469812,178,82,R
8469820,183,97,L
8469992,185,92,R
8470018,183,94,L
8470041,193,96,L
8470047,183,86,L
8470063,185,88,R
8470104,188,95,R
8470105,183,91,L
8470110,180,90,L
8470120,188,96,R
8470121,191,107,R
8470151,193,93,L
8470153,178,76,L
8470156,185,86,R
8470159,183,91,R
8470162,185,88,L
8470169,183,85,L
8470176,180,91,L
8470180,185,91,L
8470187,188,103,R
8470207,185,93,R
8470222,180,92,R
8470230,185,91,L
8470257,183,96,L
8470273,178,87,R
8470274,183,93,L
8470280,188,103,L
8470281,185,87,L
8470283,183,85,R
8470289,183,88,L
8470299,185,91,L
8470302,180,79,R
8470317,191,94,R
8470318,193,99,L
8470324,185,93,L
8470329,183,91,L
8470358,185,89,L
8470378,180,86,L
8470543,183,85,L
8470595,193,88,L
8470596,188,104,R
8470598,188,97,R
8470599,188,102,L
8470600,185,91,L
8470601,196,102,L
8470602,193,101,L
8470603,183,97,L
8470604,191,99,R
8470606,183,93,R
8470607,191,100,R
8470609,191,102,R
8470610,180,88,L
8470612,193,100,R
8470613,196,103,R
8470614,188,98,L
8470616,188,93,R
8470617,180,89,L
8470618,191,104,R
8470619,198,111,L
8470620,180,84,L
8470621,191,95,R
8470622,180,92,R
8470626,188,81,L
8470630,185,93,R
8470638,185,89,R
8470640,183,89,L
8470642,193,104,R
8470644,188,94,R
8470647,188,95,R
8470654,188,98,R
8470655,191,98,R
8470662,185,86,L
8470666,183,91,L
8470667,183,87,L
8470672,196,106,R
8470699,193,104,L
8470714,191,93,R
8470724,188,95,L
8470740,180,88,R
8470750,185,93,L
8470755,183,86,L
8470760,193,104,L
8470775,185,93,L
8470778,188,83,L
8470794,185,89,R
8470803,188,93,R
8470828,178,82,L
8470834,196,118,R
8470839,191,104,L
8470852,185,92,L
8470854,185,97,L
8470871,185,93,L
8470877,191,94,R
8470886,193,98,L
8470920,183,94,R
8470966,183,92,L
8470986,183,91,L
8471185,185,89,L
8471208,193,112,L
8471214,191,108,R
8471215,196,97,L
8471217,191,93,L
8471218,196,101,R
8471220,188,98,L
8471222,193,95,L
8471226,188,98,R
8471232,185,88,L
8471233,188,84,R
