player_id,birth_date
8449645,1970-06-07
8450725,1968-02-01
8457063,1970-04-28
8457981,1970-07-03
8458525,1973-02-21
8458529,1973-02-24
8458537,1972-05-08
8458541,1973-07-28
8458590,1972-07-04
8458938,1974-04-12
8458943,1973-12-20
8458951,1974-04-13
8459053,1973-07-03
8459424,1974-10-10
8459427,1974-12-28
8459429,1974-10-11
8459442,1974-11-23
8459444,1975-02-02
8459454,1974-12-27
8459457,1975-07-24
8459461,1975-08-15
8459462,1975-06-08
8459492,1975-02-17
8459514,1974-10-24
8459587,1973-08-12
8459596,1973-08-24
8459628,1975-04-06
8459640,1975-01-05
8459670,1975-03-18
8459687,1974-12-31
8460465,1976-11-19
8460492,1976-06-26
8460496,1976-02-21
8460503,1976-09-09
8460504,1975-09-22
8460541,1976-05-27
8460556,1974-10-08
8460561,1976-07-13
8460567,1976-03-08
8460577,1976-02-14
8460621,1972-12-11
8460626,1976-02-11
8460719,1974-07-06
8460720,1976-08-17
8460743,1973-01-23
8462036,1976-09-27
8462038,1976-10-10
8462041,1977-03-09
8462042,1977-07-01
8462077,1977-06-21
8462129,1977-03-11
8462176,1977-01-07
8462196,1977-03-03
8462225,1976-12-29
8464956,1978-03-09
8464957,1978-04-01
8464962,1974-11-02
8464966,1978-08-24
8464967,1977-02-26
8464975,1977-10-06
8464977,1978-06-16
8464981,1978-08-16
8464989,1976-11-02
8465005,1977-12-12
8465009,1977-03-18
8465025,1978-04-13
8465042,1977-09-25
8465050,1977-12-16
8465058,1978-09-03
8465059,1978-06-13
8465122,1976-12-23
8465166,1977-04-26
8465170,1976-12-27
8465185,1977-04-23
8465192,1977-12-17
8465200,1978-03-02
8465202,1974-09-02
8465210,1977-04-15
8465914,1975-10-17
8465951,1978-09-07
8465978,1977-07-23
8466035,1978-10-27
8466138,1979-07-02
8466139,1979-09-15
8466140,1978-12-05
8466149,1978-12-18
8466158,1979-01-23
8466160,1979-01-16
8466181,1978-11-10
8466182,1979-01-10
8466215,1977-06-20
8466251,1979-05-02
8466285,1979-05-23
8466333,1979-03-17
8466371,1973-05-04
8466378,1975-06-18
8466393,1979-04-07
